G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
105,341,43,79,15,0,14,56,0,0,31,99,0,8,1,2,9,5,YES
160,573,108,185,46,2,24,115,6,3,122,88,6,5,0,11,19,2,YES
122,410,44,112,19,0,11,41,1,2,23,57,1,2,0,1,16,7,YES
123,422,43,125,12,8,4,56,24,12,12,58,2,2,2,1,9,0,YES
159,632,87,167,36,6,9,55,7,5,55,103,0,4,19,2,12,6,YES
161,642,93,189,51,5,14,72,10,5,73,140,3,3,0,3,14,5,YES
115,319,28,67,10,1,1,30,1,1,41,51,5,8,7,5,12,3,YES
126,455,59,109,21,0,14,62,1,2,25,86,1,8,1,5,11,9,YES
157,595,78,160,34,4,25,83,11,10,40,124,2,4,0,3,14,1,YES
79,264,35,64,18,2,7,31,1,1,25,81,0,3,2,1,1,3,YES
150,529,89,163,29,5,35,91,5,17,49,98,11,5,3,2,2,1,YES
152,565,84,176,46,3,11,76,22,7,44,62,1,4,1,4,10,3,YES
154,547,84,146,35,5,23,71,12,7,57,62,7,8,0,8,9,8,YES
161,696,99,190,24,17,7,58,60,15,27,78,0,2,4,4,7,2,YES
138,458,68,130,28,0,16,66,1,0,70,61,11,1,1,7,15,3,YES
114,353,76,105,28,1,21,67,6,2,56,73,1,1,0,7,6,1,YES
79,324,37,89,12,2,4,28,8,7,12,23,1,7,2,3,4,4,YES
94,305,36,85,15,2,7,39,14,1,30,51,0,0,2,4,5,1,YES
108,356,52,89,19,6,15,42,1,4,54,121,6,4,0,3,3,1,YES
154,570,94,163,35,5,16,56,33,10,70,89,1,5,1,7,6,1,YES
156,631,89,156,25,20,8,54,28,10,46,101,1,2,7,4,5,1,YES
138,489,56,138,19,1,23,69,1,6,28,84,5,3,1,5,17,4,YES
153,581,75,164,25,8,25,85,8,5,28,123,2,4,2,9,18,2,YES
116,453,72,125,14,1,1,22,34,13,62,80,3,3,2,0,7,6,YES
